id,ORF,pathway
integer,varchar,varchar
primary key,foreign key,
656,YOL127W,sce03010
657,YFL030W,sce01200
658,tE_UUC_Q,sce00970
659,YNL006W,sce04138
660,YDR196C,sce00770
661,YKR095W,sce03013
662,YNR072W,sce04113
663,YDR454C,sce00230
664,YNCN0015W,sce00970
665,YBR023C,sce00520
666,YPR120C,sce04111
667,YJL187C,sce04113
668,YKL182W,sce00061
669,YDL166C,sce01240
670,YNL332W,sce00730
671,YNL006W,sce04136
672,YKR089C,sce01110
673,YLR332W,sce04011
674,YER117W,sce03010
675,YHR174W,sce03018
676,YCL004W,sce00564
677,YMR125W,sce03013
678,YMR016C,sce04113
679,YAL054C,sce00640
680,YHR166C,sce04120
681,YDL029W,sce04138
682,YNCL0033C,sce00970
683,YJL178C,sce04138
684,YER019C-A,sce04141
685,YLR209C,sce00230
686,YBR072W,sce04141
687,YGR095C,sce03018
688,YMR170C,sce00620
689,YOR109W,sce04070
690,YOL056W,sce00680
691,YPL256C,sce04113
692,YPL061W,sce00280
693,YNCL0016C,sce03008
694,YPL262W,sce01200
695,YBR159W,sce00062
696,YNL117W,sce00630
697,YKL203C,sce04136
698,YNCJ0018W,sce00970
699,YDL066W,sce01230
700,YML008C,sce00100
701,YKL106W,sce00350
702,YHR123W,sce00564
703,YDL168W,sce01200
704,YML105C,sce03060
705,YMR105C,sce00052
706,YBR263W,sce00630
707,YDR226W,sce01110
708,YOR269W,sce00565
709,YKR069W,sce00860
710,YDL168W,sce00620
711,YKL152C,sce00260
712,YLL001W,sce04139
713,YPL172C,sce01110
714,YNL334C,sce01240
715,YLR005W,sce03022
716,YIL075C,sce03050
717,YNCP0010W,sce00970
718,YMR189W,sce00630
719,YHR152W,sce04113
720,YDL008W,sce04113
721,YDL055C,sce01240
722,YBL019W,sce03410
723,YKL141W,sce01110
724,YBR218C,sce00620
725,YNCN0008C,sce00970
726,YBL011W,sce00561
727,YER026C,sce01110
728,YDR111C,sce00250
729,YNL081C,sce03010
730,YBR265W,sce00600
731,YJL074C,sce04113
732,YAL005C,sce04213
733,YDR284C,sce00564
734,YJR066W,sce04139
735,YDL072C,sce04141
736,YGR010W,sce00760
737,YDR037W,sce00970
738,YNCG0012W,sce00970
739,YKL024C,sce01232
740,YGR030C,sce03008
741,YML056C,sce01232
742,YDR022C,sce04138
743,YNR007C,sce04138
744,YLR005W,sce03420
745,YBR060C,sce04113
746,YNCO0005W,sce00970
747,YMR170C,sce00280
748,YPL194W,sce04111
749,YMR108W,sce01210
750,YLR371W,sce04011
751,YGR170W,sce00564
752,YMR205C,sce01200
753,YOR374W,sce00410
754,YMR169C,sce00310
755,YEL011W,sce00500
756,YKR097W,sce01110
757,YCL043C,sce04141
758,YNR059W,sce00514
759,YPR187W,sce03020
760,YDR032C,sce00130
761,YMR314W,sce03050
762,YOR245C,sce00561
763,YMR169C,sce00340
764,YOR167C,sce03010
765,YGR135W,sce03050
766,YCR004C,sce01110
